id,title,description,url,genre,platform,publisher,developer,release_date
2,World of Tanks,"If you like blowing up tanks, with a quick and intense game style you will love this game!",https://www.freetogame.com/open/world-of-tanks,Shooter,PC (Windows),Wargaming,Wargaming,12/04/11
3,Warframe,A cooperative free-to-play third person online action shooter set in an stunning sci-fi world. ,https://www.freetogame.com/open/warframe,Shooter,PC (Windows),Digital Extremes,Digital Extremes,25/03/13
4,CRSED: F.O.A.D.,Take the battle royale genre and add  mystical powers and you have CRSED: F.O.A.D. (Aka Cuisine Royale: Second Edition),https://www.freetogame.com/open/crsed,Shooter,PC (Windows),Gaijin Distribution KFT,Darkflow Software,12/12/19
5,Crossout,A post-apocalyptic MMO vehicle combat game! ,https://www.freetogame.com/open/crossout,Shooter,PC (Windows),Targem,Gaijin,30/05/17
6,Blade and Soul,A free-to-play martial arts MMORPG that tasks players with learning combination attacks.,https://www.freetogame.com/open/blade-and-soul,MMORPG,PC (Windows),NCSoft,NCSoft,19/01/16
7,Armored Warfare,A modern team-based MMO tank game from Obsidian Entertainment.,https://www.freetogame.com/open/armored-warfare,Shooter,PC (Windows),My.com (Mail.ru Group),Obsidian Entertainment,08/10/15
8,Trove,A free to play Sandbox massively multiplayer online role-playing game! ,https://www.freetogame.com/open/trove,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,09/07/15
9,World of Warships,A 3D free to play naval action-themed MMO from the creators of World of Tanks! ,https://www.freetogame.com/open/world-of-warships,Shooter,PC (Windows),Wargaming,Wargaming,02/07/15
10,ArcheAge,"A free-to-play, hybrid fantasy/sandbox MMORPG brought to you by Trion Worlds.",https://www.freetogame.com/open/archeage,MMORPG,PC (Windows),Kakao Games,XL Games,04/09/14
11,Neverwinter,A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game. ,https://www.freetogame.com/open/neverwinter,MMORPG,PC (Windows),Perfect World Entertainment,Cryptic Studios,06/12/13
12,War Thunder,A MMO shooter that puts you in command of hundreds of the finest combat vehicles of World War II.,https://www.freetogame.com/open/war-thunder,Shooter,PC (Windows),Gaijin Entertainment,Gaijin Entertainment,15/08/13
13,Guild Wars 2,"A free-to-play MMORPG, the follow-up to ArenaNet's popular Guild Wars. ",https://www.freetogame.com/open/guild-wars-2,MMORPG,PC (Windows),NCsoft,ArenaNet,28/08/12
14,Star Trek Online,"A free-to-play, 3D, Sci-Fi MMORPG based on the popular Star Trek series.",https://www.freetogame.com/open/star-trek-online,MMORPG,PC (Windows),Perfect World Entertainment, Cryptic Studios,02/02/10
15,Crossfire,A first person tactical shooter with a huge selection of game modes!,https://www.freetogame.com/open/crossfire,Shooter,PC (Windows),Neowiz Games,SmileGate,03/05/07
16,Roblox,A free to play sandbox MMO with lots of creation options.,https://www.freetogame.com/open/roblox,MMO,PC (Windows),Roblox Corporation,Roblox Corporation,22/12/06
17,Entropia Universe,A 3D MMO Multi Virtual World Real Cash Economy Experience with RPG elements. ,https://www.freetogame.com/open/entropia-universe,MMORPG,PC (Windows),MindArk,MindArk,30/01/03
18,Second Life,A free to play 3D online virtual world with a huge reputation! ,https://www.freetogame.com/open/second-life,Social,PC (Windows),Linden Lab,Linden Lab,23/06/03
19,Minion Masters,A free-to-play strategic minion brawler from Danish developer Betadwarf. ,https://www.freetogame.com/open/minion-masters,Card Game,PC (Windows),Betadwarf,Betadwarf,24/05/19
